vit_t_lm_points,vit_t_lm_bboxes,vit_b_lm_points,vit_b_lm_bboxes,vit_l_lm_points,vit_l_lm_bboxes,vit_t_em_organelles_points,vit_t_em_organelles_bboxes,vit_b_em_organelles_points,vit_b_em_organelles_bboxes,vit_l_em_organelles_points,vit_l_em_organelles_bboxes,vit_h_points,vit_h_bboxes,file_names
0.32987291420156123,0.7715565446517095,0.4546710160856781,0.7850381514044351,0.45716759524159717,0.7809785169866603,0.3902766060725832,0.7849736319476276,0.5221113147579003,0.792369914385411,0.5667202974023674,0.778253101999438,0.4289410285964917,0.7035079089856057,seg0400.tif
0.3180383092478497,0.7772336201531546,0.44830685880594884,0.7847936445321085,0.45258195059829276,0.7801351041434291,0.3972906970427767,0.7893285611020162,0.5342424844629131,0.7987730801024217,0.5954808176203628,0.7847069907977419,0.43118335834279575,0.7031887056559332,seg0401.tif
0.3109156437892386,0.7809819098046501,0.45563045803954577,0.7874425548281936,0.46541949776384095,0.7797839806077704,0.40255801497223287,0.7913402516134913,0.5425267309953469,0.8014896613354769,0.6011570172814414,0.7847292772989007,0.44051136425099585,0.7025350766918577,seg0402.tif
0.30325165659045183,0.7764172852529907,0.43721391297649087,0.7847356325015338,0.453044842523609,0.7742415311934484,0.3753785552736803,0.7869949991026395,0.533952486543112,0.7967260149622407,0.5724309455005564,0.7723912996268324,0.42977497102680556,0.6966905682424946,seg0403.tif
0.315743349410533,0.7832509340810917,0.44396694294748684,0.7961176591132861,0.44947278101381427,0.7856160822653877,0.37952375236855396,0.793029460184579,0.5310561488007294,0.8023982601024553,0.575972780809865,0.7834638545131275,0.4183208936271964,0.7143594186060301,seg0404.tif
0.3259666521850758,0.7878153921576864,0.4690419955942324,0.7925297293039528,0.4703076885414883,0.7808406147109156,0.40793245532868905,0.7942831162564935,0.5408925956571365,0.802202301416564,0.5892897323029984,0.7854897857635738,0.4428767655154885,0.7184472052645801,seg0405.tif
0.3272347505623536,0.7918789099405704,0.4462368806227661,0.7971847467591268,0.4762821677327833,0.7889141259544945,0.41279505220309476,0.7961108026892745,0.5380456323696489,0.8095497457727492,0.5781810831266418,0.7874032869589801,0.44908412613221554,0.7274082231847441,seg0406.tif
0.32496601829622823,0.7849432921603745,0.4445728591464219,0.795557339881194,0.47507392673129,0.7840355333156498,0.39077572032590524,0.7953614379350126,0.5175742205511791,0.803484178108195,0.5691374027609839,0.7826433553040549,0.4170176493813536,0.7193006980899455,seg0407.tif
0.32433385936935577,0.7912614777088574,0.45203520538008024,0.7990303343524233,0.4863692412477479,0.7878192694086962,0.3994989031188196,0.7995386746848684,0.5348515148571745,0.8089764379300531,0.5915996708086243,0.7916704161729667,0.43825307024854243,0.7216579502836463,seg0408.tif
0.3176217740121153,0.7883203755249368,0.4587320907633892,0.7980249359115358,0.48861079535971474,0.789204118045305,0.40497252291709623,0.801254834749719,0.5428914446130012,0.8083776519549779,0.5954652897347112,0.7872302546215951,0.44671773584799285,0.7275509948516237,seg0409.tif
0.31144802787638826,0.7828385627586258,0.4318399596125833,0.7940048762073999,0.4835327404374992,0.7826296295699697,0.39016329451651627,0.7970742736994834,0.5362520513572752,0.8030123105708139,0.5860866320355683,0.7823852988219968,0.42219457269955407,0.7174459250915295,seg0410.tif
0.3052109634658449,0.7843005950347728,0.41648416851794,0.7893087432721314,0.45922060487133004,0.7820909140933984,0.3724429705824317,0.7948928411527746,0.5194091891707667,0.803845571371628,0.5850105470640774,0.7784494096563458,0.4104637841282035,0.7125238399127639,seg0411.tif
0.3090870066421633,0.7806660176057987,0.42315408149630024,0.78916524490496,0.4623878552365257,0.7798784367746476,0.38028952062447313,0.7949340595049017,0.5223550692654266,0.8043970339687171,0.5916324670481599,0.7827549026018426,0.42793009618512595,0.7221357490072279,seg0412.tif
0.3088909849326593,0.7832541965965433,0.4254323242341396,0.7899705586953437,0.4690199483622142,0.7852312945179363,0.3827710865419239,0.7953489250917528,0.508826434919111,0.8065888852333777,0.5853007864578523,0.7851217413973243,0.42083374610675484,0.7133477541711057,seg0413.tif
0.315283468047373,0.7765929444703075,0.4291443055383157,0.785765294795037,0.4598378231436854,0.7777966110720018,0.3913783157251525,0.7895096265134852,0.5216038017836018,0.7997461154642509,0.5727774539729368,0.7795394393067752,0.41524101082132914,0.7025752835557183,seg0414.tif
0.31246143238940116,0.7766114613349282,0.4179281253438843,0.7829176036163775,0.4538213872064248,0.7760229361388645,0.37913497379151534,0.7902316167397285,0.5202568121096199,0.8003313147689658,0.5761300103626719,0.7771440503839752,0.4130852658492297,0.7039141808883067,seg0415.tif
0.31677680772969075,0.7727931666547748,0.43670592907916145,0.780700525625545,0.4702248441111341,0.7727854829344943,0.3851555357090013,0.7846840424712511,0.5198489822859377,0.7987202128377986,0.5800961967539604,0.7794854432797419,0.4091776405937211,0.6962753428090815,seg0416.tif
0.3188675760294086,0.7699936593724135,0.440844542208764,0.783883752846885,0.4700728735348795,0.7763549683320907,0.39120010376241077,0.7843738330364739,0.5152452364608608,0.7976199826372029,0.567906552717216,0.7779508032790681,0.39088350829535334,0.6921982379439066,seg0417.tif
0.3161574092756049,0.7761924220871861,0.43252599114212903,0.7896008920708313,0.47652790320769156,0.7812247756876994,0.3861865099228509,0.7893797252521041,0.5092045020965184,0.8034776419527578,0.5796192686318595,0.7852832732828605,0.41055364187873206,0.6966997510212549,seg0418.tif
0.31446786555883327,0.7740623469204096,0.4459900958969748,0.7895281387341698,0.4674206068730837,0.7832257301379136,0.38400666020392027,0.7899259507218553,0.5112588828901404,0.7965370048265298,0.5715249435553945,0.7798738998534429,0.42139746944808937,0.7008841747264399,seg0419.tif
0.30365941378932787,0.7713089162489285,0.4370028305446681,0.786606891796815,0.451980690534398,0.777329777929005,0.3784271708838669,0.7842637399826171,0.4990982668370195,0.7922272433712755,0.5570503156495622,0.7762649684976725,0.39408594929565255,0.6966442245351334,seg0420.tif
0.3136061001348727,0.7705503781120415,0.44465993155771183,0.7859435207142109,0.4545257208437337,0.7761510813483256,0.3767571361902746,0.7849130801801288,0.5257884272322565,0.7958485965053117,0.5806463997426926,0.7759263836153012,0.41313489239414564,0.6980388931444433,seg0421.tif
0.32290232323187434,0.7683228843677852,0.4307099322188573,0.7845056395060064,0.4600606030969926,0.7766438375044883,0.3825702581239865,0.7842176569707001,0.5055384284209972,0.7945441444680527,0.5795345359359819,0.775249219845962,0.4088091396140383,0.6949210189700458,seg0422.tif
0.3336763462496099,0.7686819949342056,0.441939494936117,0.7819515951169562,0.465203779083957,0.7758987873882162,0.38658673025802714,0.7791874318693592,0.5141012793663197,0.7873057081143991,0.5795152945713029,0.770619315963399,0.41035859521919954,0.701534069489869,seg0423.tif
0.3273436850367897,0.7687310493360491,0.436449312840385,0.7823943494166313,0.4579720663988219,0.7759276245244757,0.3856802097218949,0.7798185793022778,0.5162043831608528,0.7882300668102138,0.5761238918641677,0.7711800128066268,0.4012513277025615,0.7025946284325398,seg0424.tif
0.30917573085677874,0.7646877463354306,0.4219937631352691,0.7737465270870765,0.4540268722130173,0.7697731953226171,0.37570114902720086,0.775845165195028,0.5008875495536191,0.7849020138576537,0.5613503547547198,0.7686657165948334,0.40420186508886785,0.6915198339278859,seg0425.tif
0.3215914710029751,0.7721889496201064,0.44676958848552156,0.7830351985995723,0.473261715150308,0.7745102149024787,0.3882416175575781,0.783710969670734,0.519553479020628,0.7974755625646899,0.5924153477920577,0.7800265359797722,0.42638329696250726,0.6949183473814756,seg0426.tif
