vit_t_lm_points,vit_t_lm_bboxes,vit_b_lm_points,vit_b_lm_bboxes,vit_l_lm_points,vit_l_lm_bboxes,vit_t_em_organelles_points,vit_t_em_organelles_bboxes,vit_b_em_organelles_points,vit_b_em_organelles_bboxes,vit_l_em_organelles_points,vit_l_em_organelles_bboxes,vit_h_points,vit_h_bboxes,file_names
0.5326336392043431,0.6245762711864407,0.09143923245078445,0.6721467980906329,0.6979289416730208,0.6904228583916083,0.8881676952543094,0.8566081553744331,0.8945129964953271,0.8759803921568627,0.8660919540229886,0.9007915661255999,0.8645610880071934,0.8679972157847302,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-0_0117_0-191_448-672.tiff
0.3475252385774341,0.8182857142857144,0.013258915535752057,0.7857222055937042,0.6468966217012979,0.859536311136921,0.7777886378050581,0.8738258997283012,0.7750462247529825,0.8622483684162147,0.759147579597141,0.8771927434397929,0.5356028406902963,0.8041695516704171,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-0_100-105_0-191_224-448.tiff
0.7074252325577084,0.8480699257010799,0.6855424440364374,0.8247761896681195,0.7963625860292077,0.8464607188359525,0.8112855784077975,0.883473069416255,0.8232344183164114,0.8764559466227366,0.8096167450952666,0.8829021754874317,0.7091500982086086,0.8330113122840103,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-0_129-134_0-191_224-448.tiff
0.7698226223717739,0.8395856675701132,0.7550454004666192,0.8583971726410375,0.812156817532849,0.8671573866062371,0.8468872722082713,0.9021920013405935,0.8517664985681384,0.903662153924653,0.8537409996860175,0.9063304296756465,0.8280717870313964,0.8524070219177396,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-0_134-139_0-191_224-448.tiff
0.6959644860486871,0.7908810269019166,0.36626523545349354,0.7863921694888885,0.7406901922205438,0.8123523036529019,0.8435067855271745,0.8938339777175347,0.8377854775083362,0.8943668930632398,0.8225370613537912,0.9002259165499732,0.6532730823525845,0.8271689819635549,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-0_141-146_0-191_224-448.tiff
0.5799461047031705,0.6939451931211628,0.37421593519057206,0.6847520277031157,0.6748503654022117,0.7212726739975907,0.7256332414832315,0.8752650294735395,0.7697896535714123,0.8503966112096379,0.770277924530804,0.860797050370581,0.7148263323544809,0.779643133624659,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-0_153-158_0-191_224-448.tiff
0.6605829038325614,0.8834693642285214,0.33681329454769743,0.8627448333225699,0.8074175565585433,0.891644066808206,0.826438313930685,0.906245066167777,0.8412981276615132,0.9015219324569684,0.8221014233645113,0.9099432349174406,0.8147709979082136,0.8496219281891567,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-0_164-169_0-191_448-672.tiff
0.336,0.8419618528610354,0.022462562396006656,0.8743016759776536,0.021737671922173768,0.8429319371727748,0.9195402298850575,0.9096209912536443,0.9171428571428571,0.9221902017291066,0.8975069252077562,0.9135446685878963,0.8701657458563536,0.90625,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-1_0115_0-224_0-224.tiff
0.674412665396347,0.831576109255341,0.00989023318694033,0.8134844202418288,0.5928344802580704,0.8529714320096784,0.835753124216411,0.8902036866760312,0.8413123638569568,0.8899779307245878,0.8520071116591986,0.8763746441022731,0.767715249697669,0.7970586794593499,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-1_0121_0-224_448-672.tiff
0.6726123563311505,0.8025388603996254,0.011315775582707518,0.7907201541747774,0.6673127432521054,0.8481489541041665,0.7816529548715233,0.8900436204370561,0.7676848670375894,0.8747760152120377,0.7780198219850636,0.8619413625854875,0.7236085559316204,0.7673814754460838,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-1_0134_0-224_448-672.tiff
0.7600929598729625,0.8718671660860932,0.2546688682921335,0.8466992147577027,0.7577053823636622,0.8807686264786416,0.8067284980406999,0.904431931985117,0.8078113464785389,0.8854477511367427,0.8102527166428924,0.8866989837377642,0.7608103638202065,0.8031684926205851,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-1_0150_0-224_224-448.tiff
0.6351450056505582,0.8710274607033058,0.6672653308035669,0.8366182491865551,0.7512284237457226,0.8539054966248795,0.7857484125632451,0.8811945870679895,0.8119530845876524,0.8772887934447026,0.808194314693714,0.8934204331450095,0.801948556814969,0.8073473539075627,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-1_0163_0-224_0-224.tiff
0.6888897597671211,0.8097732483803917,0.016495449301009966,0.7778799687034889,0.7402871821365015,0.8329402032990807,0.8246278161431135,0.8790869868720371,0.8222553861757629,0.8709149686405742,0.8238859538089061,0.8731511367271434,0.7634243175320696,0.7963246080639801,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-1_132-137_0-224_448-672.tiff
0.6867284472810548,0.8316545887692323,0.15309523981944653,0.81809467594767,0.7947159173240864,0.8893071508029476,0.8266330949289908,0.9124944419791119,0.8293490938703345,0.9079652649318393,0.8202938445518492,0.9079452330347939,0.8175037379704698,0.8416976862158307,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-1_162-167_0-224_224-448.tiff
0.7594239101650961,0.8417251508242702,0.07825821484034351,0.8113954146098752,0.7519322424261299,0.8341705913134484,0.7983797267984495,0.8847884537980544,0.8218836629823761,0.8837307313074418,0.8098797573761964,0.8973726240950651,0.8256761460184785,0.8407931031722526,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-1_173-178_0-224_224-448.tiff
0.5763967107701347,0.7299144370393733,0.054445586658331636,0.7168913354958353,0.030322045373078053,0.7344556583187899,0.8341482627384054,0.8901779311240764,0.848205960264411,0.8636267940707668,0.812823123192153,0.8743024137168275,0.784749657408087,0.8371679487249842,000r10530ND0Jf1lZ9gQ_3D______000r10530ND0Jf1lZ9gQ_3D-LOC-1_88-93_0-224_448-672.tiff
0.3609262134404556,0.8515987375304803,0.9201834553474433,0.9182117946526178,0.8281905619372643,0.8661615972728789,0.42294720282664017,0.9035348311989202,0.8930352932508105,0.9170166130313953,0.909118938897374,0.9166677754150567,0.9113680235618975,0.9333526848593001,005231Mi4tR936D758lh_2D______005231Mi4tR936D758lh_2D_img00001-LOC-2d-448-672_672-896.tiff
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,005231Mi4tR936D758lh_2D______005231Mi4tR936D758lh_2D_img00002-LOC-2d-224-448_224-448.tiff
0.5675212598177211,0.7008532719793059,0.7563411324488101,0.7731163273556442,0.6840338919622603,0.7183380543185474,0.7284803829651441,0.7945712909307703,0.818305262069619,0.833553090825939,0.8006113997175044,0.8612400329479135,0.7144401555884411,0.8161002032464978,005231Mi4tR936D758lh_2D______005231Mi4tR936D758lh_2D_img00003-LOC-2d-224-448_672-896.tiff
0.46907099909479283,0.8524317948347109,0.7555574967243851,0.8941825154724132,0.6880946869676492,0.8632402561554898,0.7025742088900443,0.9043080199584475,0.87614365762289,0.9110979894816568,0.8783955317498248,0.9016819737867845,0.846685186294391,0.8707797218191894,005231Mi4tR936D758lh_2D______005231Mi4tR936D758lh_2D_img00004-LOC-2d-448-672_1120-1344.tiff
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,005231Mi4tR936D758lh_2D______005231Mi4tR936D758lh_2D_img00005-LOC-2d-448-672_224-448.tiff
0.6011012726496889,0.770256716856715,0.7547991239599489,0.8556967148265379,0.5994559419696787,0.7748763118904457,0.7430328011468034,0.8404129090928922,0.8426289018007893,0.8803318848959945,0.7638041590414542,0.9220944276686851,0.7711919169145911,0.8605995569245344,005231Mi4tR936D758lh_2D______005231Mi4tR936D758lh_2D_img00006-LOC-2d-448-672_448-672.tiff
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,005231Mi4tR936D758lh_2D______005231Mi4tR936D758lh_2D_img00007-LOC-2d-672-896_0-224.tiff
0.5624261051737736,0.8472245523636962,0.8145082118230706,0.8586075751382256,0.7458282984196717,0.870646659880054,0.7897677191341094,0.8662828170568798,0.8352005518325244,0.8678509855650661,0.8308035034695803,0.8806490460747346,0.7889730906838902,0.8383971388490954,005231Mi4tR936D758lh_2D______005231Mi4tR936D758lh_2D_img00008-LOC-2d-672-896_1344-1568.tiff
